city,day_time,weather,temperature
Tallinn *,Sat 6:19 am,Clear. Cool.,55 °F
Cape Town,Sat 5:19 am,Light rain. Passing clouds. Cool.,57 °F
Los Angeles *,Fri 8:19 pm,Clear. Warm.,79 °F
Tashkent,Sat 8:19 am,Clear. Mild.,70 °F
Caracas,Fri 11:19 pm,Overcast. Warm.,82 °F
Madrid *,Sat 5:19 am,Passing clouds. Mild.,63 °F
Tegucigalpa,Fri 9:19 pm,Passing clouds. Warm.,77 °F
Casablanca *,Sat 4:19 am,,N/A
Managua,Fri 9:19 pm,Passing clouds. Warm.,84 °F
Tehran,Sat 6:49 am,Passing clouds. Pleasantly warm.,81 °F
Chicago *,Fri 10:19 pm,Passing clouds. Mild.,74 °F
Manila,Sat 11:19 am,Light rain. Overcast. Mild.,76 °F
Tokyo,Sat 12:19 pm,Sprinkles. Partly sunny. Mild.,73 °F
Copenhagen *,Sat 5:19 am,Fog. Cool.,61 °F
Melbourne,Sat 1:19 pm,Sunny. Cool.,57 °F
Toronto *,Fri 11:19 pm,Clear. Mild.,64 °F
Dallas *,Fri 10:19 pm,Passing clouds. Hot.,93 °F
Mexico City,Fri 9:19 pm,Strong thunderstorms. Mostly cloudy. Cool.,59 °F
Vancouver *,Fri 8:19 pm,Partly sunny. Mild.,64 °F
Dar es Salaam,Sat 6:19 am,Passing clouds. Mild.,70 °F
Miami *,Fri 11:19 pm,Passing clouds. Warm.,85 °F
Vienna *,Sat 5:19 am,Clear. Mild.,66 °F
Darwin,Sat 12:49 pm,Sunny. Extremely hot.,93 °F
Minneapolis *,Fri 10:19 pm,Partly sunny. Warm.,78 °F
Warsaw *,Sat 5:19 am,Clear. Cool.,61 °F
Denver *,Fri 9:19 pm,Passing clouds. Mild.,75 °F
Minsk,Sat 6:19 am,Clear. Cool.,50 °F
Washington DC *,Fri 11:19 pm,Passing clouds. Warm.,78 °F
Detroit *,Fri 11:19 pm,Clear. Mild.,67 °F
Montevideo,Sat 12:19 am,Passing clouds. Cool.,50 °F
Winnipeg *,Fri 10:19 pm,Mild.,69 °F
Dhaka,Sat 9:19 am,Low clouds. Warm.,81 °F
Montréal *,Fri 11:19 pm,Passing clouds. Cool.,61 °F
Yangon,Sat 9:49 am,Mostly cloudy. Warm.,82 °F
Doha,Sat 6:19 am,Clear. Extremely hot.,95 °F
Moscow,Sat 6:19 am,Overcast. Cool.,54 °F
Zagreb *,Sat 5:19 am,Clear. Mild.,70 °F
Dubai,Sat 7:19 am,Clear. Hot.,91 °F
Mumbai,Sat 8:49 am,Broken clouds. Warm.,84 °F
Zürich *,Sat 5:19 am,Fog. Cool.,55 °F
Dublin *,Sat 4:19 am,Passing clouds. Cool.,59 °F
Nairobi,Sat 6:19 am,Partly cloudy. Cool.,55 °F
,,,
