city,day_time,weather,temperature
Jakarta,Sat 10:19 am,Partly sunny. Warm.,86
Rome *,Sat 5:19 am,Passing clouds. Warm.,79
Baghdad,Sat 6:19 am,Clear. Extremely hot.,97
Jerusalem *,Sat 6:19 am,Mild.,73
Salt Lake City *,Fri 9:19 pm,Partly cloudy. Mild.,72
Bangkok,Sat 10:19 am,Passing clouds. Warm.,88
Johannesburg,Sat 5:19 am,Clear. Cool.,49
San Francisco *,Fri 8:19 pm,Passing clouds. Cool.,60
Barcelona *,Sat 5:19 am,Clear. Mild.,70
Karachi,Sat 8:19 am,Partly sunny. Warm.,81
San Juan,Fri 11:19 pm,Passing clouds. Warm.,82
Beijing,Sat 11:19 am,Passing clouds. Mild.,75
Kathmandu,Sat 9:04 am,Broken clouds. Mild.,75
San Salvador,Fri 9:19 pm,Passing clouds. Warm.,82
Belgrade *,Sat 5:19 am,Clear. Mild.,73
Kingston,Fri 10:19 pm,Warm.,86
Santiago,Fri 11:19 pm,Clear. Cool.,50
Bengaluru,Sat 8:49 am,Scattered clouds. Mild.,73
Kinshasa,Sat 4:19 am,Passing clouds. Mild.,72
Santo Domingo,Fri 11:19 pm,Passing clouds. Warm.,82
Berlin *,Sat 5:19 am,Scattered showers. Passing clouds. Mild.,64
Kiritimati,Sat 5:19 pm,Broken clouds. Hot.,90
São Paulo,Sat 12:19 am,Clear. Warm.,77
Bogota,Fri 10:19 pm,Light rain. Mostly cloudy. Cool.,54
Kolkata,Sat 8:49 am,Broken clouds. Warm.,88
Seattle *,Fri 8:19 pm,Broken clouds. Mild.,66
Boston *,Fri 11:19 pm,Passing clouds. Mild.,76
Kuala Lumpur,Sat 11:19 am,Passing clouds. Hot.,91
Seoul,Sat 12:19 pm,Broken clouds. Warm.,84
Brasilia,Sat 12:19 am,Clear. Warm.,79
Kuwait City,Sat 6:19 am,Clear. Pleasantly warm.,87
Shanghai,Sat 11:19 am,Scattered clouds. Warm.,88
Brisbane,Sat 1:19 pm,Mild.,74
Kyiv *,Sat 6:19 am,Clear. Cool.,56
Singapore,Sat 11:19 am,Broken clouds. Warm.,88
Brussels *,Sat 5:19 am,Passing clouds. Cool.,59
La Paz,Fri 11:19 pm,Passing clouds. Quite cool.,42
Sofia *,Sat 6:19 am,Clear. Mild.,64
Bucharest *,Sat 6:19 am,Passing clouds. Cool.,57
Lagos,Sat 4:19 am,Passing clouds. Warm.,79
St. John's *,Sat 12:49 am,Passing clouds. Mild.,63
Budapest *,Sat 5:19 am,Clear. Mild.,68
Lahore,Sat 8:19 am,Scattered clouds. Hot.,90
Stockholm *,Sat 5:19 am,Partly cloudy. Mild.,64
Buenos Aires,Sat 12:19 am,Passing clouds. Cool.,55
Las Vegas *,Fri 8:19 pm,Partly sunny. Extremely hot.,105
Suva,Sat 3:19 pm,Scattered clouds. Warm.,82
Cairo *,Sat 6:19 am,Passing clouds. Warm.,79
Lima,Fri 10:19 pm,Clear. Mild.,72
Sydney,Sat 1:19 pm,Scattered clouds. Mild.,64
Calgary *,Fri 9:19 pm,Partly cloudy. Mild.,64
Lisbon *,Sat 4:19 am,Clear. Mild.,64
Taipei,Sat 11:19 am,Scattered clouds. Extremely hot.,95
Canberra,Sat 1:19 pm,Sunny. Mild.,63
London *,Sat 4:19 am,Partly cloudy. Mild.,64
Tallinn *,Sat 6:19 am,Clear. Cool.,55
Cape Town,Sat 5:19 am,Light rain. Passing clouds. Cool.,57
Los Angeles *,Fri 8:19 pm,Clear. Warm.,79
Tashkent,Sat 8:19 am,Clear. Mild.,70
Caracas,Fri 11:19 pm,Overcast. Warm.,82
Madrid *,Sat 5:19 am,Passing clouds. Mild.,63
Tegucigalpa,Fri 9:19 pm,Passing clouds. Warm.,77
Managua,Fri 9:19 pm,Passing clouds. Warm.,84
Tehran,Sat 6:49 am,Passing clouds. Pleasantly warm.,81
Chicago *,Fri 10:19 pm,Passing clouds. Mild.,74
Manila,Sat 11:19 am,Light rain. Overcast. Mild.,76
Tokyo,Sat 12:19 pm,Sprinkles. Partly sunny. Mild.,73
Copenhagen *,Sat 5:19 am,Fog. Cool.,61
Melbourne,Sat 1:19 pm,Sunny. Cool.,57
Toronto *,Fri 11:19 pm,Clear. Mild.,64
Dallas *,Fri 10:19 pm,Passing clouds. Hot.,93
Mexico City,Fri 9:19 pm,Strong thunderstorms. Mostly cloudy. Cool.,59
Vancouver *,Fri 8:19 pm,Partly sunny. Mild.,64
Dar es Salaam,Sat 6:19 am,Passing clouds. Mild.,70
Miami *,Fri 11:19 pm,Passing clouds. Warm.,85
Vienna *,Sat 5:19 am,Clear. Mild.,66
Darwin,Sat 12:49 pm,Sunny. Extremely hot.,93
Minneapolis *,Fri 10:19 pm,Partly sunny. Warm.,78
Warsaw *,Sat 5:19 am,Clear. Cool.,61
Denver *,Fri 9:19 pm,Passing clouds. Mild.,75
Minsk,Sat 6:19 am,Clear. Cool.,50
Washington DC *,Fri 11:19 pm,Passing clouds. Warm.,78
Detroit *,Fri 11:19 pm,Clear. Mild.,67
Montevideo,Sat 12:19 am,Passing clouds. Cool.,50
Winnipeg *,Fri 10:19 pm,Mild.,69
Dhaka,Sat 9:19 am,Low clouds. Warm.,81
Montréal *,Fri 11:19 pm,Passing clouds. Cool.,61
Yangon,Sat 9:49 am,Mostly cloudy. Warm.,82
Doha,Sat 6:19 am,Clear. Extremely hot.,95
Moscow,Sat 6:19 am,Overcast. Cool.,54
Zagreb *,Sat 5:19 am,Clear. Mild.,70
Dubai,Sat 7:19 am,Clear. Hot.,91
Mumbai,Sat 8:49 am,Broken clouds. Warm.,84
Zürich *,Sat 5:19 am,Fog. Cool.,55
Dublin *,Sat 4:19 am,Passing clouds. Cool.,59
Nairobi,Sat 6:19 am,Partly cloudy. Cool.,55
